id;nombre;direccion;telefono;horario;SQL
1;Bluejam;72 Corben Junction;4174903371;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (1, 'Bluejam', '72 Corben Junction', '4174903371', '12:00 - 20:00');"
2;Vipe;8040 Reinke Circle;6261147694;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (2, 'Vipe', '8040 Reinke Circle', '6261147694', '08:00 - 16:00');"
3;Buzzdog;02726 Prentice Street;3403385945;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (3, 'Buzzdog', '02726 Prentice Street', '3403385945', '08:00 - 16:00');"
4;Kare;8755 Redwing Place;9937817236;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (4, 'Kare', '8755 Redwing Place', '9937817236', '09:00 - 17:00');"
5;Skipfire;655 Monterey Terrace;6663078063;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (5, 'Skipfire', '655 Monterey Terrace', '6663078063', '13:00 - 21:00');"
6;Yata;04 Hazelcrest Place;1636083859;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (6, 'Yata', '04 Hazelcrest Place', '1636083859', '11:00 - 19:00');"
7;Twimbo;15760 4th Park;3929955751;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (7, 'Twimbo', '15760 4th Park', '3929955751', '10:00 - 18:00');"
8;Skyndu;8024 Annamark Court;6517465298;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (8, 'Skyndu', '8024 Annamark Court', '6517465298', '08:00 - 16:00');"
9;Realblab;5785 Spenser Circle;1559149130;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (9, 'Realblab', '5785 Spenser Circle', '1559149130', '07:00 - 15:00');"
10;Divavu;26211 Blaine Pass;4114679448;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (10, 'Divavu', '26211 Blaine Pass', '4114679448', '12:00 - 20:00');"
11;Kwilith;35 Gateway Alley;1273496682;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (11, 'Kwilith', '35 Gateway Alley', '1273496682', '13:00 - 21:00');"
12;Jabberstorm;382 Boyd Pass;3892660991;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (12, 'Jabberstorm', '382 Boyd Pass', '3892660991', '10:00 - 18:00');"
13;Zoomzone;126 Gina Parkway;7569820316;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (13, 'Zoomzone', '126 Gina Parkway', '7569820316', '07:00 - 15:00');"
14;Zooxo;0837 Parkside Plaza;3219143954;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (14, 'Zooxo', '0837 Parkside Plaza', '3219143954', '12:00 - 20:00');"
15;Zoonoodle;89650 Fisk Circle;2684650911;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (15, 'Zoonoodle', '89650 Fisk Circle', '2684650911', '12:00 - 20:00');"
16;Livepath;43 Nelson Hill;7208499273;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (16, 'Livepath', '43 Nelson Hill', '7208499273', '12:00 - 20:00');"
17;Jetpulse;600 Everett Pass;8003621518;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (17, 'Jetpulse', '600 Everett Pass', '8003621518', '07:00 - 15:00');"
18;Trudeo;59 Dawn Avenue;9495773113;10:00 - 18:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (18, 'Trudeo', '59 Dawn Avenue', '9495773113', '10:00 - 18:00');"
19;Mybuzz;12306 Fremont Lane;1622394465;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (19, 'Mybuzz', '12306 Fremont Lane', '1622394465', '09:00 - 17:00');"
20;Skilith;3961 Crowley Center;1732734043;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (20, 'Skilith', '3961 Crowley Center', '1732734043', '08:00 - 16:00');"
21;Youspan;09170 Nova Hill;7554193379;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (21, 'Youspan', '09170 Nova Hill', '7554193379', '11:00 - 19:00');"
22;Realcube;413 Goodland Drive;9837913878;07:00 - 15:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (22, 'Realcube', '413 Goodland Drive', '9837913878', '07:00 - 15:00');"
23;Voomm;302 Thackeray Point;3083162848;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (23, 'Voomm', '302 Thackeray Point', '3083162848', '12:00 - 20:00');"
24;Kare;478 Service Crossing;7116125623;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (24, 'Kare', '478 Service Crossing', '7116125623', '12:00 - 20:00');"
25;Omba;08 Little Fleur Park;7621886277;06:00 - 14:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (25, 'Omba', '08 Little Fleur Park', '7621886277', '06:00 - 14:00');"
26;Jabbersphere;79 Southridge Drive;5685311435;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (26, 'Jabbersphere', '79 Southridge Drive', '5685311435', '13:00 - 21:00');"
27;Eire;410 Saint Paul Circle;7439873256;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (27, 'Eire', '410 Saint Paul Circle', '7439873256', '08:00 - 16:00');"
28;Mymm;35 Sycamore Road;9614407410;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (28, 'Mymm', '35 Sycamore Road', '9614407410', '12:00 - 20:00');"
29;Trupe;681 Kingsford Trail;5218341305;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (29, 'Trupe', '681 Kingsford Trail', '5218341305', '09:00 - 17:00');"
30;Tagchat;1301 Longview Avenue;6787755575;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (30, 'Tagchat', '1301 Longview Avenue', '6787755575', '08:00 - 16:00');"
31;Flipopia;44 Glendale Junction;6435633460;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (31, 'Flipopia', '44 Glendale Junction', '6435633460', '11:00 - 19:00');"
32;Twinder;816 Merry Point;5451876641;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (32, 'Twinder', '816 Merry Point', '5451876641', '11:00 - 19:00');"
33;Abatz;4 Merry Place;8239506098;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (33, 'Abatz', '4 Merry Place', '8239506098', '12:00 - 20:00');"
34;Gabspot;83514 Coleman Trail;4384335813;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (34, 'Gabspot', '83514 Coleman Trail', '4384335813', '11:00 - 19:00');"
35;Flashpoint;5722 Barby Center;4726080576;09:00 - 17:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (35, 'Flashpoint', '5722 Barby Center', '4726080576', '09:00 - 17:00');"
36;Thoughtbeat;3 Tennessee Park;1856240151;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (36, 'Thoughtbeat', '3 Tennessee Park', '1856240151', '11:00 - 19:00');"
37;Meembee;1 Laurel Crossing;7035727804;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (37, 'Meembee', '1 Laurel Crossing', '7035727804', '12:00 - 20:00');"
38;Yakitri;2197 Prairie Rose Road;1265704899;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (38, 'Yakitri', '2197 Prairie Rose Road', '1265704899', '13:00 - 21:00');"
39;Youtags;847 Tony Circle;6815799182;08:00 - 16:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (39, 'Youtags', '847 Tony Circle', '6815799182', '08:00 - 16:00');"
40;Shufflebeat;44 Leroy Trail;4482358234;13:00 - 21:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (40, 'Shufflebeat', '44 Leroy Trail', '4482358234', '13:00 - 21:00');"
41;Jatri;78528 Muir Junction;3228278032;12:00 - 20:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (41, 'Jatri', '78528 Muir Junction', '3228278032', '12:00 - 20:00');"
42;Brainsphere;4 Hoepker Alley;3177796187;11:00 - 19:00;"INSERT INTO compras_restaurante (id, nombre, direccion, telefono, horario) VALUES (42, 'Brainsphere', '4 Hoepker Alley', '3177796187', '11:00 - 19:00');"
